Commodity code,Commodity,Quantity,Unit,Supplimentary Quantity,Supplimentary Unit,US dollar
40117010,"New rubber pneumatic tyres with herring-bone""",1110236,-,9945,-,"3,166,017"
40118011,"New rubber pneumatic tyres with herring-bone""",571081,-,11931,-,"2,626,853"
40118012,"New rubber pneumatic tyres with herring-bone""",926853,-,3518,-,"4,802,486"
1012100,Live pure-bred breeding horses,65300,-,150,-,"2,901,485"
1012900,"Live horses, not pure-bred breeding",546962,-,1517,-,"22,338,695"
1013090,"Live asses, not pure-bred breeding",1812180,-,16492,-,"1,484,280"
1022100,Live pure-bred breeding cattles,21020804,-,69821,-,"143,781,586"
1022900,"Live cattles, not pure-bred breeding",12037498,-,35954,-,"54,593,650"
1029010,Other live pure-bred breeding bovine animals,2940180,-,9589,-,"17,213,107"
1031000,Live pure-bred breeding swine,598540,-,11174,-,"20,576,203"
1041010,Live pure-bred breeding sheep,140070,-,2900,-,"4,559,230"
1051110,Live chicken¡Ü185g for pure-bred breeding,44015,-,1018080,-,"18,653,180"
1051290,"Live turkeys¡Ü185g, not pure-bred breeding",900,-,10000,-,"29,636"
1061110,"Primates, for pure-bred breeding",2329,-,418,-,"1,399,562"
1061190,"Primates, not pure-bred breeding",1672,-,741,-,"519,180"
1061211,"Whales,dolphins,propoises,manatees&dugongs,for pure-bred breeding",30820,-,126,-,"25,579,451"
1061219,"Whales,dolphins,propoises,manatees&dugongs,not for pure-bred breeding",1069,-,6,-,"372,916"
1061221,"Seals,sea lions&walruses, for pure-bred breeding",7527,-,197,-,"2,037,514"
1061229,"Seals,sea lions&walruses, not for pure-bred breeding",5044,-,199,-,"2,173,547"
1061310,"Camels&other camelids, for pure-bred breeding",64805,-,1161,-,"1,868,873"
1061390,"Camels&other camelids, not for pure-bred breeding",28600,-,557,-,"1,029,896"
1061410,"Rabbits&hares, for pure-bred breeding",2022,-,830,-,"392,141"
1061910,"Other mammals, for pure-bred breeding",248135,-,76777,-,"20,677,342"
1061990,"Other edible mammals, not pure-bred breeding",84428,-,39145,-,"8,192,219"
1062019,"Other reptiles, for pure-bred breeding",431,-,10442,-,"40,817"
1062020,Edible reptiles,1182356,-,497865,-,"3,693,654"
1062090,"Reptiles, nes",152668,-,1812788,-,"2,131,140"
1063210,"Psittaciformes, for pure-bred breeding",424,-,1353,-,"98,385"
1063290,"Other psittaciformes, not pure-bred breeding",2070,-,3201,-,"522,960"
1063910,"Other birds, for pure-bred breeding",1097,-,337,-,"3,423,916"
1063990,"Birds, nes",5834,-,18869,-,"2,683,471"
1064190,"Bees, not for pure-bred breeding",10513,-,1008370,-,"366,528"
1064910,"Other insects, for pure-bred breeding",10,-,14460,-,"1,583"
1064990,"Other insects, not for pure-bred breeding",53,-,113724,-,"72,498"
1069011,"Tadpole and young frogs, for pure-bred breeding",8,-,200,-,"1,234"
1069019,"Other live animals, for pure-bred breeding",500,-,25,-,"107,735"
1069090,"Other live animals, not for pure-bred breeding",281754,-,717293,-,"321,885"
2012000,Fresh or chilled unboned bovine meat ( excl. carcasses),475826,-,0,-,"6,611,415"
2013000,Fresh or chilled boneless bovine meat,6082254,-,0,-,"66,896,320"
2021000,Frozen bovine carcasses&half carcasses,579434,-,0,-,"1,634,429"
2022000,Frozen unboned bovine meat (excl. carcasses),123837128,-,0,-,"286,888,703"
2023000,Frozen boneless bovine meat,564090686,-,0,-,"2,703,096,996"
2031200,"Fresh or chilled unboned hams, shoulders&cuts thereof of swine",19034,-,0,-,"40,270"
2031900,Other fresh or chilled swine meat,5264,-,0,-,"15,011"
2032190,"Frozen swine carcasses&half carcasses, nes",384128,-,0,-,"682,248"
2032200,"Frozen unboned hams, shoulders&cuts thereof of swine",395824655,-,0,-,"698,705,220"
2032900,Other frozen swine meat,820524094,-,0,-,"1,521,236,234"
2042100,Fresh or chilled sheep carcasses&half carcasses (excl. lamb),105822,-,0,-,"485,844"
2042200,Fresh or chilled unboned meat of sheep,28893,-,0,-,"288,894"
2042300,Fresh or chilled boneless meat of sheep,10619,-,0,-,"91,717"
2043000,Frozen lamb carcasses&half carcasses,135708,-,0,-,"606,833"
2044100,Frozen sheep carcasses&half carcasses (excl.lamb),11357254,-,0,-,"41,168,476"
2044200,Frozen unboned meat of sheep,219792288,-,0,-,"787,183,062"
2044300,Frozen boneless meat of sheep,17542623,-,0,-,"48,526,017"
2045000,"Fresh, chilled or frozen goat meat",2685,-,0,-,"5,424"
2050000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",23269487,-,0,-,"48,952,586"
2062100,Frozen bovine tongues,1109231,-,0,-,"4,081,657"
2062200,Frozen bovine livers,1505,-,0,-,942
2062900,Frozen edible bovine offal (excl. tongues&livers),19299321,-,0,-,"69,499,829"
2064100,Frozen swine livers,535520,-,0,-,"321,165"
2064900,Frozen edible swine offal (excl. livers),1235918713,-,0,-,"2,112,808,473"
2069000,"Frozen edible offal of sheep, goats, horses,asses&mules or hinnies,",4593441,-,0,-,"11,210,685"
2071200,Frozen whole chickens,1057592,-,0,-,"1,133,968"
2071311,"Fresh or chilled cuts of chicken, with bone",4022,-,0,-,"13,395"
2071411,"Frozen chicken cuts, with bone",73560618,-,0,-,"89,581,966"
2071419,"Frozen chicken cuts, nes",283450,-,0,-,"559,658"
2071421,Frozen midjoint wing of chicken,195429766,-,0,-,"584,286,713"
2071422,Frozen chicken claw,139910855,-,0,-,"298,447,230"
2071429,"Frozen offal of chicken, nes",40164420,-,0,-,"53,743,487"
2072500,Frozen whole turkeys,361877,-,0,-,"1,446,378"
2072700,Frozen cuts&offal of turkeys,1173031,-,0,-,"2,487,908"
2074200,Frozen whole ducks,2722,-,0,-,"3,015"
2074500,Frozen cuts&offal of ducks,58,-,0,-,819
2085000,"Fresh, chilled or frozen meat&edible offal of reptiles",8500,-,0,-,"9,750"
2089090,"Fresh, chilled or frozen meat&edible offal, nes",460683,-,0,-,"2,341,104"
2091000,"Pig fat, not extracted, fresh, chilled, frozen,dried or salted",43570907,-,0,-,"35,465,382"
2101110,"Unboned swine hams&shoulders, salted, in brine,dried or smoked",1005,-,0,-,"16,226"
2101190,"Cuts of unboned swine hams&shoulders, saltd, in brine, drd or smkd",291,-,0,-,"4,422"
2101200,"Bellies&cuts thereof of swine, salted, in brine, dried or smoked",2214,-,0,-,"6,603"
2101900,"Meat of swine, salted, in brine,dried or smoked, nes",304476,-,0,-,"5,712,142"
2102000,"Meat of bovine animals, salted,in brine,dried or smoked",4722,-,0,-,"18,680"
2109300,"Meat/edible offal of reptiles, saltd/brn/drd/smkd;flours&meals",100,-,0,-,"2,209"
2109900,"Other meat/edible offal, nes, saltd/brn/drd/smkd; flours&meals",8085,-,0,-,"231,576"
3011100,Live ornamental freshwater fish,235717,-,0,-,"14,691,922"
3011900,Other live ornamental fish,100490,-,0,-,"2,870,780"
3019210,Live eels fry,16934,-,0,-,"2,541,356"
3019290,"Live eels, excl. fry",141422,-,0,-,"1,325,289"
3019911,Live perch fry,4108,-,0,-,"212,352"
3019919,Other live fry,8931,-,0,-,"451,937"
3019999,"Live fish nes, excl. Fry",15510273,-,0,-,"61,114,160"
3021100,Fresh or chilled trout,3650,-,0,-,"38,608"
3021300,Fresh or chilled Pacific salmon,419411,-,0,-,"3,897,983"
3021410,Fresh or chilled Atlantic salmon,37772712,-,0,-,"356,036,862"
3021900,Other fresh or chilled salmonidae,13600,-,0,-,"102,503"
3022300,Fresh or chilled sole,374,-,0,-,"2,384"
3022900,Other fresh or chilled flat fish,362317,-,0,-,"1,111,053"
3023100,Fresh or chilled albacore or longfinned tunas,263,-,0,-,"3,710"
3023200,Fresh or chilled yellowfin tunas,73351,-,0,-,"777,983"
3023300,Fresh or chilled skipjack or stripe-bellied bonito,3918,-,0,-,"68,144"
3023400,Fresh or chilled bigeye tunas,6780,-,0,-,"50,204"
3023510,Fresh or chilled Atlantic bluefin tunas,2716,-,0,-,"77,929"
3023520,Fresh or chilled Pacific bluefin tunas,217083,-,0,-,"7,834,771"
3023600,Fresh or chilled bluefin tunas,20394,-,0,-,"405,181"
3024100,Fresh or chilled herrings,117810,-,0,-,"93,059"
3024300,"Fresh or chilled sardines,sadinella, brisling or sprats",123935,-,0,-,"87,402"
3024400,Fresh or chilled mackerel,32644,-,0,-,"253,362"
3024500,Fresh or chilled jack and horse mackerel,148734,-,0,-,"1,223,319"
3024900,"Fresh or chilled indian mackerels, seerfishes, jacks, crevalles, silver pomfrets, Pacific saury, scads, capelin, Kawakawa, bonitos, marlins, sailfishes, spearfish",288715,-,0,-,"2,209,599"
3025100,Fresh or chilled cod,181385,-,0,-,"249,508"
3025200,Fresh or chilled haddock,47,-,0,-,412
3025400,Fresh or chilled hake,294,-,0,-,"1,127"
3025900,Other fresh or chilled fish of the families Bregmacerotidae and Euclichthyidae etc.,102,-,0,-,697
3027200,Fresh or chilled catfish,87570,-,0,-,"38,202"
3027400,Fresh or chilled eels,2766,-,0,-,"20,181"
3028100,Fresh or chilled dogfish and other sharks,185052,-,0,-,"104,448"
3028200,Fresh or chilled rays and skates,1170,-,0,-,"1,174"
3028500,Fresh or chilled seabream,35100,-,0,-,"8,802"
3028910,Fresh or chilled scabber fish,9349352,-,0,-,"11,710,871"
3028920,Fresh or chilled yellow croaker,5211,-,0,-,"50,139"
3028930,Fresh or chilled butterfish,302559,-,0,-,"3,700,282"
3028940,Fresh or chilled puffer fish,70598,-,0,-,"336,000"
3028990,"Fresh or chilled fish, nes",5542182,-,0,-,"13,266,421"
3029200,Fresh or chilled shark fins,7000,-,0,-,"56,000"
3031100,Frozen sockeye salmon,5069659,-,0,-,"23,157,440"
3031200,Other frozen Pacific salmon,150019544,-,0,-,"439,992,333"
3031300,Frozen Atlantic salmon and Danube salmon,13601136,-,0,-,"87,399,404"
3031400,Frozen trout,5787800,-,0,-,"44,404,201"
3031900,Other frozen salmonidae,1692930,-,0,-,"9,082,947"
3032300,Frozen tilapias,3702,-,0,-,"7,983"
3032400,Frozen catfish,13444849,-,0,-,"22,099,374"
3032500,Frozen carp,513129,-,0,-,"747,222"
3032600,Frozen eels,1072300,-,0,-,"1,379,940"
3032900,Frozen Nile perch and snakeheads,5818,-,0,-,"39,293"
3033110,Frozen greenland halibut,18592802,-,0,-,"96,213,832"
3033190,Other frozen halibut,2359844,-,0,-,"15,226,327"
3033200,Frozen plaice,2146773,-,0,-,"4,224,604"
3033300,Frozen sole,1619620,-,0,-,"3,442,779"
3033900,Other frozen flat fish,146033277,-,0,-,"261,680,863"
3034100,Frozen albacore or longfinned tunas,2522430,-,0,-,"7,947,211"
3034200,Frozen yellowfin tunas,15146364,-,0,-,"37,047,566"
3034300,Frozen skipjack or stripe-bellied bonito,51915463,-,0,-,"89,762,694"
3034400,Frozen bigeye tunas,1325064,-,0,-,"5,515,528"
3034510,Frozen Atlantic bluefin tunas,44572,-,0,-,"1,303,457"
3034520,Frozen Pacific bluefin tunas,22028,-,0,-,"51,921"
3034600,Frozen southern bluefin tunas,218895,-,0,-,"4,240,201"
3034900,"Frozen tunas, nes",13950,-,0,-,"31,408"
3035100,Frozen herrings,186856693,-,0,-,"112,461,850"
3035300,"Frozen sadines, sardinella, brisling or sprats",8130159,-,0,-,"6,187,473"
3035400,Frozen mackerel,136027360,-,0,-,"171,822,304"
3035500,Frozen jack and horse mackerel,16612684,-,0,-,"23,108,695"
3035700,Frozen swordfish,468445,-,0,-,"1,337,625"
3035900,"Frozen anchovies, Indian mackerels, seerfishes, jacks, crevalles, silver pomfrets, Pacific saury, scads, capelin,  Kawakawa, bonitos, marlins, sailfishes, spearfish",75572815,-,0,-,"87,779,416"
3036300,Frozen cod,206261083,-,0,-,"675,272,159"
3036400,Frozen haddock,48593585,-,0,-,"123,412,177"
3036500,Frozen coalfish,12731624,-,0,-,"22,464,394"
3036600,Frozen hake,28272503,-,0,-,"39,771,095"
3036700,Frozen Alaska Pollack,664703066,-,0,-,"637,559,267"
3036800,Frozen blue whitings,56205297,-,0,-,"38,583,749"
3036900,"Other Frozen Fish of the families Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae etc.",31268537,-,0,-,"55,808,682"
3038100,Frozen dogfish and other sharks,2717831,-,0,-,"4,688,494"
3038200,Frozen rays and skates,1294202,-,0,-,"1,720,477"
3038300,Frozen toothfish,743824,-,0,-,"20,632,477"
3038400,Frozen seabass,184853,-,0,-,"305,746"
3038910,Frozen scabber fish,25072963,-,0,-,"52,313,703"
3038920,Frozen yellow croaker,324667,-,0,-,"497,255"
3038930,Frozen butterfish,2654591,-,0,-,"9,539,915"
3038990,"Frozen fish, nes",187234906,-,0,-,"378,017,640"
3039100,"Frozen fish liver, roes and milt",10340673,-,0,-,"79,432,341"
3039200,Frozen shark fins,1132284,-,0,-,"6,754,196"
3039900,Other frozen edible fish offal,6884801,-,0,-,"12,545,032"
3044100,Fresh or chilled fillets of Pacific/Altantic/Danude salmon,10975,-,0,-,"131,778"
3044300,Fresh or chilled fillets of flat fish,155,-,0,-,599
3044400,Fresh or chilled fillets of fish of the families Bregmacerotidae and Euclichthyidae etc.,242,-,0,-,"2,894"
3044900,Other fresh or chilled fish fillets,12784,-,0,-,"470,425"
3045900,Other fresh or chilled meat of fish,5373,-,0,-,"162,653"
3046100,Frozen fillets of tilapias,18275,-,0,-,"74,561"
3046219,Frozen fillets of other Ictalurus,147908,-,0,-,"181,752"
3046290,Frozen fillets of other catfish,39883542,-,0,-,"92,479,878"
3046300,Frozen fillets of Nile perch,313200,-,0,-,"1,786,245"
3046900,Frozen fillets of carp/eels/snakeheads,51287,-,0,-,"441,143"
